,6IM4,1OAI,3SOU,5GP7,4O36,1ELW,4GNE,5GU4,1JD5,3ASL,6EVN,3IQG,1MF4,4EQJ,3D9T,2HO2,1FCH,4X3H,3UPV
6IM4,71,22,25,25,26,26,23,23,22,25,24,26,24,26,21,14,23,24,24
1OAI,22,60,19,24,21,26,22,20,22,18,21,23,22,24,21,15,24,26,23
3SOU,25,19,70,26,23,25,28,20,23,69,24,20,23,22,24,15,22,22,23
5GP7,25,24,26,71,21,25,24,27,23,26,24,24,23,23,24,17,27,26,26
4O36,26,21,23,21,71,26,24,23,23,23,23,25,28,24,23,16,23,21,27
1ELW,26,26,25,25,26,71,24,24,24,25,24,25,25,24,23,13,24,24,31
4GNE,23,22,28,24,24,24,71,19,23,28,23,21,24,23,20,14,24,23,24
5GU4,23,20,20,27,23,24,19,71,22,20,23,23,20,27,24,17,24,25,23
1JD5,22,22,23,23,23,24,23,22,71,23,23,22,24,26,38,13,25,27,24
3ASL,25,18,69,26,23,25,28,20,23,69,24,19,23,22,23,15,21,22,23
6EVN,24,21,24,24,23,24,23,23,23,24,71,23,22,23,22,18,25,23,23
3IQG,26,23,20,24,25,25,21,23,22,19,23,71,22,25,24,15,24,22,24
1MF4,24,22,23,23,28,25,24,20,24,23,22,22,71,23,25,14,22,21,23
4EQJ,26,24,22,23,24,24,23,27,26,22,23,25,23,71,22,16,22,26,23
3D9T,21,21,24,24,23,23,20,24,38,23,22,24,25,22,71,16,20,23,23
2HO2,14,15,15,17,16,13,14,17,13,15,18,15,14,16,16,34,14,15,13
1FCH,23,24,22,27,23,24,24,24,25,21,25,24,22,22,20,14,71,26,25
4X3H,24,26,22,26,21,24,23,25,27,22,23,22,21,26,23,15,26,71,22
3UPV,24,23,23,26,27,31,24,23,24,23,23,24,23,23,23,13,25,22,71
