,sequence
1CKA_1CKA,0.0
1CKA_1D4T,47.66
1CKA_1ELW,6.85
1CKA_1FCH,5.77
1CKA_1GWR,25.06
1CKA_1JD5,41.06
1CKA_1LB6,25.78
1CKA_1MF4,37.52
1CKA_1MFG,44.55
1CKA_1OAI,8.23
1CKA_1T7R,24.34
1CKA_1X2R,48.53
1CKA_1YWO,261.3
1CKA_2HO2,36.09
1CKA_2O9V,305.63
1CKA_2OEI,42.13
1CKA_2PEH,27.46
1CKA_2PV1,44.45
1CKA_2QBW,47.26
1CKA_2WA8,35.28
1CKA_2XRW,53.26
1CKA_3ASL,26.51
1CKA_3CH8,35.94
1CKA_3D9T,27.5
1CKA_3DIW,37.14
1CKA_3DRF,40.14
1CKA_3DRG,10.45
1CKA_3EMH,63.53
1CKA_3IQG,45.24
1CKA_3IVV,54.39
1CKA_3L3X,19.83
1CKA_3OBQ,39.77
1CKA_3R42,35.47
1CKA_3RYB,12.8
1CKA_3SO6,49.26
1CKA_3SOU,30.21
1CKA_3UPV,-29.76
1CKA_3UVK,64.1
1CKA_3UVM,62.95
1CKA_4AIF,-22.75
1CKA_4APO,-18.97
1CKA_4CC2,273.88
1CKA_4CY1,63.79
1CKA_4E3B,46.53
1CKA_4EQJ,36.41
1CKA_4ERY,63.69
1CKA_4EWR,63.05
1CKA_4F14,278.09
1CKA_4GNE,25.59
1CKA_4GQ6,30.85
1CKA_4H39,56.13
1CKA_4IKN,34.47
1CKA_4J73,72.24
1CKA_4J78,67.32
1CKA_4J81,67.01
1CKA_4JOE,50.72
1CKA_4K75,55.18
1CKA_4LN2,301.72
1CKA_4LNP,329.64
1CKA_4MDR,45.12
1CKA_4NXQ,64.06
1CKA_4O36,0.32
1CKA_4WYU,43.06
1CKA_4X3H,19.32
1CKA_4XHV,61.22
1CKA_4Y7R,65.13
1CKA_4YSI,37.71
1CKA_4ZHL,59.76
1CKA_5A2J,56.09
1CKA_5CFA,40.14
1CKA_5E1D,27.0
1CKA_5E2Q,46.99
1CKA_5GP7,39.72
1CKA_5GU4,64.37
1CKA_5HEB,60.22
1CKA_5HEY,57.18
1CKA_5WOU,59.16
1CKA_5XHZ,291.87
1CKA_5YGF,106.12
1CKA_6CDG,43.22
1CKA_6EVN,-22.53
1CKA_6IM4,20.99
1D4T_1CKA,47.66
1D4T_1D4T,0.0
1D4T_1ELW,-6.68
1D4T_1FCH,2.8
1D4T_1GWR,6.12
1D4T_1JD5,31.5
1D4T_1LB6,63.89
1D4T_1MF4,14.16
1D4T_1MFG,50.87
1D4T_1OAI,50.32
1D4T_1T7R,20.6
1D4T_1X2R,69.5
1D4T_1YWO,49.13
1D4T_2HO2,31.23
1D4T_2O9V,46.13
1D4T_2OEI,39.52
1D4T_2PEH,53.36
1D4T_2PV1,39.77
1D4T_2QBW,67.99
1D4T_2WA8,56.4
1D4T_2XRW,39.8
1D4T_3ASL,19.52
1D4T_3CH8,53.57
1D4T_3D9T,19.24
1D4T_3DIW,39.68
1D4T_3DRF,37.55
1D4T_3DRG,45.67
1D4T_3EMH,67.65
1D4T_3IQG,58.0
1D4T_3IVV,62.37
1D4T_3L3X,-13.5
1D4T_3OBQ,63.78
1D4T_3R42,66.53
1D4T_3RYB,40.9
1D4T_3SO6,36.54
1D4T_3SOU,10.13
1D4T_3UPV,12.19
1D4T_3UVK,40.68
1D4T_3UVM,46.13
1D4T_4AIF,4.93
1D4T_4APO,10.51
1D4T_4CC2,59.0
1D4T_4CY1,9.41
1D4T_4E3B,44.33
1D4T_4EQJ,24.78
1D4T_4ERY,75.71
1D4T_4EWR,40.6
1D4T_4F14,37.61
1D4T_4GNE,-4.31
1D4T_4GQ6,71.36
1D4T_4H39,28.71
1D4T_4IKN,33.24
1D4T_4J73,33.78
1D4T_4J78,68.79
1D4T_4J81,48.77
1D4T_4JOE,36.81
1D4T_4K75,32.85
1D4T_4LN2,43.12
1D4T_4LNP,37.94
1D4T_4MDR,29.06
1D4T_4NXQ,55.45
1D4T_4O36,9.31
1D4T_4WYU,64.24
1D4T_4X3H,47.01
1D4T_4XHV,40.1
1D4T_4Y7R,41.33
1D4T_4YSI,37.37
1D4T_4ZHL,-11.52
1D4T_5A2J,40.08
1D4T_5CFA,63.8
1D4T_5E1D,52.15
1D4T_5E2Q,79.36
1D4T_5GP7,7.12
1D4T_5GU4,53.59
1D4T_5HEB,39.07
1D4T_5HEY,46.27
1D4T_5WOU,61.26
1D4T_5XHZ,45.67
1D4T_5YGF,42.66
1D4T_6CDG,73.47
1D4T_6EVN,9.6
1D4T_6IM4,17.59
1ELW_1CKA,-29.25
1ELW_1D4T,-10.14
1ELW_1ELW,0.0
1ELW_1FCH,395.59
1ELW_1GWR,78.59
1ELW_1JD5,32.1
1ELW_1LB6,-27.94
1ELW_1MF4,58.12
1ELW_1MFG,10.16
1ELW_1OAI,61.18
1ELW_1T7R,67.12
1ELW_1X2R,-96.03
1ELW_1YWO,-17.12
1ELW_2HO2,-7.58
1ELW_2O9V,-26.42
1ELW_2OEI,-24.77
1ELW_2PEH,24.01
1ELW_2PV1,30.8
1ELW_2QBW,-15.54
1ELW_2WA8,24.32
1ELW_2XRW,37.77
1ELW_3ASL,-2.39
1ELW_3CH8,-3.51
1ELW_3D9T,31.77
1ELW_3DIW,7.86
1ELW_3DRF,62.36
1ELW_3DRG,65.4
1ELW_3EMH,-76.58
1ELW_3IQG,36.89
1ELW_3IVV,-18.13
1ELW_3L3X,66.76
1ELW_3OBQ,65.31
1ELW_3R42,26.99
1ELW_3RYB,56.14
1ELW_3SO6,-5.57
1ELW_3SOU,-9.25
1ELW_3UPV,445.38
1ELW_3UVK,-63.22
1ELW_3UVM,-77.33
1ELW_4AIF,340.05
1ELW_4APO,341.02
