pdb_id,main_keyword,all_keywords,for_plot
5hey,PEPTIDE BINDING PROTEIN ,"PDZ, GLGF, DHR, adhesion, synapse, synaptic density, peptide-binding domain, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
1d4t,SIGNALING PROTEIN ,"SH2 DOMAIN, TYROSINE KINASE, SIGNAL TRANSDUCTION, PEPTIDE RECOGNITION, SIGNALING PROTEIN ",SIGNALING PROTEIN 
4aif,SIGNALING PROTEIN ,"SIGNALING PROTEIN-PEPTIDE COMPLEX, ARYL HYDROCARBON RECEPTOR ",SIGNALING PROTEIN 
3ch8,STRUCTURAL PROTEIN ,"fibronectin, PDZ, STRUCTURAL PROTEIN ",STRUCTURAL PROTEIN 
4j81,PROTEIN TRANSPORT ,"Beta propeller domain, dilysine motif, COPI, ER retrieval, PROTEIN TRANSPORT ",PROTEIN TRANSPORT 
3d9t,APOPTOSIS ,"zinc finger, Apoptosis, Cytoplasm, Metal-binding, Polymorphism, Zinc, Zinc-finger, Alternative splicing, Hydrolase, Protease, Thiol protease, Zymogen",APOPTOSIS 
4apo,SIGNALING PROTEIN,"SIGNALING PROTEIN-PEPTIDE COMPLEX, ARYL HYDROCARBON RECEPTOR ",SIGNALING PROTEIN
4x3h,SIGNALING PROTEIN ,"ENDOCYTOSIS MEDIATOR, SIGNALING PROTEIN ",SIGNALING PROTEIN 
2oei,PROTEIN BINDING ,"WW domain, FE65, human Mena, PROTEIN BINDING ",PROTEIN BINDING 
1oai,NUCLEAR TRANSPORT ,"NUCLEAR TRANSPORT, NUCLEAR TRANSPORT FACTOR, NUCLEOPORIN ",NUCLEAR TRANSPORT 
1mfg,SIGNALING PROTEIN ,"PDZ DOMAIN, PROTEIN-PEPTIDE COMPLEX, ERB-B2, ERBIN., SIGNALING PROTEIN ",SIGNALING PROTEIN 
5heb,PEPTIDE BINDING PROTEIN ,"PDZ, GLGF, DHR, adhesion, synapse, synaptic density, peptide-binding domain, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
1jd5,HYDROLASE,"APOPTOSIS, GRIM, IAP, CASPASE ACTIVATION, DROSOPHILA, Hydrolase-Peptide complex ",HYDROLASE
2pv1,ISOMERASE ,"Survival protein A, Peptidyl-prolyl cis-trans isomerase domain, Complex, Isomerase ",ISOMERASE 
4gq6,TRANSCRIPTION,"Tumor Suppressor, Nucleus, TRANSCRIPTION-TRANSCRIPTION inhibitor complex ",TRANSCRIPTION
4gne,TRANSFERASE,"zinc finger, transcription, histone, nuclear protein, TRANSFERASE-NUCLEAR PROTEIN complex ",TRANSFERASE
4cc2,STRUCTURAL PROTEIN ,"STRUCTURAL PROTEIN, SRC HOMOLOGY 3, SH3 DOMAIN, PROLINE-RICH PEPTIDE, ACTIN CYTOSKELETON, CORTICAL TENSION ",STRUCTURAL PROTEIN 
4nxq,signaling Protein,"Beta barrel fold protein, PDZ domain, peptide binding, specificity mutant, scaffold signaling protein for cell adhesion and cell junction, signaling domain, protein-peptide complex, signaling Protein-Peptide complex",SIGNALING PROTEIN
4ln2,SIGNALING PROTEIN ,"sh3 domain, cell migration, focal adhesion, SIGNALING PROTEIN ",SIGNALING PROTEIN 
3sou,LIGASE ,"Zn coordinated PHD finger, Histone binding, Histone H3, ligase ",LIGASE 
5e2q,HYDROLASE ,"Complex, Peptidase, Zinc-hydrolase, hydrolase ",HYDROLASE 
3diw,SIGNALING PROTEIN,"beta-catenin, TIP-1, Tax-interacting protein-1, PDZ domain, Nucleus, Wnt signaling pathway, SIGNALING PROTEIN-CELL ADHESION COMPLEX ",SIGNALING PROTEIN
3uvm,TRANSCRIPTION ,"trithorax, chromatin biology, beta-propeller, scaffolding, histone H3, nucleus, TRANSCRIPTION ",TRANSCRIPTION 
3l3x,PROTEIN BINDING ,"androgen receptor, ligand binding domain, steroid receptor coactivator 3, 5-alpha-dihydrotestosterone (DHT), prostate cancer, PROTEIN BINDING",PROTEIN BINDING 
3emh,GENE REGULATION ,"Chromatin, Histone, WD40 repeat, Nucleus, Phosphoprotein, WD repeat, Zinc-finger, GENE REGULATION ",GENE REGULATION 
4o36,HYDROLASE ,"RNase S, artificial imine reductase, S-peptide, Hydrolase ",HYDROLASE 
2qbw,UNKNOWN FUNCTION ,"fibronectin PDZ, UNKNOWN FUNCTION ",UNKNOWN FUNCTION 
4ewr,Transferase ,"WD40, Win motif, beta propeller, 3-10 helix, lysine methyltransferase, SETd1a, RbBP5, MLL1, Ash2L, core complex, Histone, Transcription-Transferase complex",TRANSFERASE 
1lb6,SIGNALING PROTEIN ,"TRAF6-CD40 complex, SIGNALING PROTEIN ",SIGNALING PROTEIN 
3obq,PROTEIN TRANSPORT ,"Protein Transprot, Ubiquitin Binding, PROTEIN TRANSPORT ",PROTEIN TRANSPORT 
3upv,PEPTIDE BINDING PROTEIN ,"TPR-fold, Adaptor protein for Hsp70 and Hsp90, C-terminal part of Hsp70, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
4e3b,SIGNALING PROTEIN,"PDZ-peptide complex, SIGNALING PROTEIN-PROTEIN BINDING complex ",SIGNALING PROTEIN
1gwr,NUCLEAR RECEPTOR ,"NUCLEAR RECEPTOR, TRANSCRIPTION FACTOR, TRANSACTIVATION, AGONIST, AF2 COACTIVATOR, RECEPTOR, ACTIVATOR, TRANSCRIPTI REGULATION, DNA-BINDING, NUCLEAR PROTEIN, ZINC FINGER, STER BINDING, PHOSPHORYLATION, POLYMORPHISM, ALTERNATIVE SPLICING",NUCLEAR RECEPTOR 
4zhl,HYDROLASE,"Peptides inhibitor, uPA, serine protease, HYDROLASE-HYDROLASE INHIBITOR complex ",HYDROLASE
4j78,PROTEIN TRANSPORT ,"beta propeller domain, dilysine motif, ER retrieval, PROTEIN TRANSPORT ",PROTEIN TRANSPORT 
1mf4,HYDROLASE,"Naja naja sagittifera, phospholipase A2, designed inhibitor, HYDROLASE-HYDROLASE INHIBITOR complex ",HYDROLASE
4ikn,PROTEIN TRANSPORT ,"immunoglobulin-like beta-sandwich, signal recognition, cytosolic tail of transmembrane proteins, adaptor protein, PROTEIN TRANSPORT ",PROTEIN TRANSPORT 
2wa8,PEPTIDE BINDING PROTEIN ,"N-END RULE, PHE PEPTIDE, CLPS, CLPA, CLPP, PEPTIDE-BINDING PROTEIN, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
1cka,ONCOGENE PROTEIN,"COMPLEX (ONCOGENE PROTEIN-PEPTIDE), COMPLEX (ONCOGENE PROTEIN-PEPTIDE) complex ",ONCOGENE PROTEIN
2o9v,SIGNALING PROTEIN,"SH3 DOMAIN, PONSIN, Paxillin, proline-rich-region, SIGNALING PROTEIN-CELL ADHESION COMPLEX ",SIGNALING PROTEIN
1ywo,HYDROLASE,"SH3, Phospholipase C-gamma1, SLP-76, SH2 domain-containing leukocyte phosphoprotein of 76 kD, HYDROLASE, SIGNALING PROTEIN ",HYDROLASE
5wou,CELL ADHESION ,"Scribble, PDZ domain, Guk-holder, cell polarity, CELL ADHESION ",CELL ADHESION 
4j73,PROTEIN TRANSPORT ,"beta propeller, dilysine motif, ER retrieval signal, coatomer cargo recognition, PROTEIN TRANSPORT ",PROTEIN TRANSPORT 
4ysi,HYDROLASE,"USP7, viral protein, HYDROLASE-Peptide complex ",HYDROLASE
4y7r,DNA BINDING PROTEIN ,"Myc WDR5 Cancer, DNA BINDING PROTEIN ",DNA BINDING PROTEIN 
