,pdb_1,pdb_2,similarity
0,1MFG,2QBW,60
1,1MFG,3CH8,60
2,1T7R,3L3X,70
3,2O9V,4LN2,62
4,2QBW,1MFG,60
5,2QBW,3CH8,71
6,2XRW,4H39,61
7,3ASL,3SOU,69
8,3CH8,1MFG,60
9,3CH8,2QBW,71
10,3DIW,4E3B,68
11,3DRF,3DRG,52
12,3DRF,3RYB,52
13,3DRG,3DRF,52
14,3DRG,3RYB,71
15,3EMH,3UVK,69
16,3EMH,3UVM,69
17,3EMH,4CY1,69
18,3EMH,4ERY,69
19,3EMH,4EWR,69
20,3EMH,4Y7R,69
21,3L3X,1T7R,70
22,3RYB,3DRF,52
23,3RYB,3DRG,71
24,3SOU,3ASL,69
25,3UVK,3EMH,69
26,3UVK,3UVM,71
27,3UVK,4CY1,71
28,3UVK,4ERY,71
29,3UVK,4EWR,71
30,3UVK,4Y7R,71
31,3UVM,3EMH,69
32,3UVM,3UVK,71
33,3UVM,4CY1,71
34,3UVM,4ERY,71
35,3UVM,4EWR,71
36,3UVM,4Y7R,71
37,4AIF,4APO,71
38,4APO,4AIF,71
39,4CY1,3EMH,69
40,4CY1,3UVK,71
41,4CY1,3UVM,71
42,4CY1,4ERY,71
43,4CY1,4EWR,71
44,4CY1,4Y7R,71
45,4E3B,3DIW,68
46,4ERY,3EMH,69
47,4ERY,3UVK,71
48,4ERY,3UVM,71
49,4ERY,4CY1,71
50,4ERY,4EWR,71
51,4ERY,4Y7R,71
52,4EWR,3EMH,69
53,4EWR,3UVK,71
54,4EWR,3UVM,71
55,4EWR,4CY1,71
56,4EWR,4ERY,71
57,4EWR,4Y7R,71
58,4H39,2XRW,61
59,4J73,4J78,71
60,4J73,4J81,71
61,4J78,4J73,71
62,4J78,4J81,71
63,4J81,4J73,71
64,4J81,4J78,71
65,4JOE,4K75,70
66,4K75,4JOE,70
67,4LN2,2O9V,62
68,4Y7R,3EMH,69
69,4Y7R,3UVK,71
70,4Y7R,3UVM,71
71,4Y7R,4CY1,71
72,4Y7R,4ERY,71
73,4Y7R,4EWR,71
74,5HEB,5HEY,69
75,5HEY,5HEB,69
